ufid,size,%_treated,%_censored,%_effect_size,effect_size,link_type,snr,tx_importance,deg(y),deg(z),deg(c),n_conf(y),n_conf(yz),n_conf(z),n_conf(c),n_conf(cy),n_conf(cz),n_conf(cyz),dgp,instance,random_seed
3500319934fa4da89d00f1ae37d31e75,1000,50.694633006000004,0,-53.235981213500004,0.128564695478,log,0.959537526495,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,8,484164
4e14c050d98741ba9b146b0ce8cabe05,1000,20.2381947268,0,-7.15443679587,-1.63755385744,poly,0.837178294228,,3,3,-1,1,5,4,0,0,0,0,8,0,576605
1855679e7de64285a9a6334fdebfd22b,1000,20.9210314665,0,22.519265426700002,-11.5003396379,poly,0.873277321228,,3,1,-1,1,5,4,0,0,0,0,8,1,29200
f93c1733538b4de792e8f5a016cfbebe,1000,30.0820568398,0,1.69719177742,-0.289610930271,poly,0.833176280185,,1,2,-1,1,5,4,0,0,0,0,8,3,474387
8d4d35eb0f4b4132914cdc2374fccce6,1000,34.0483356816,0,-0.17168297679000002,-1.62299748632,poly,0.83169718618,,2,2,-1,1,5,4,0,0,0,0,8,8,367290
530559787a7c4d80b93ca788c916c608,1000,7.538494691810001,0,66.8779783345,-3.5301746871499997,poly,0.866241415632,0.455119613313,3,1,-1,6,3,1,0,0,0,0,9,4,219970
a7031a3ec4e74bce9314f2f6f3878b38,1000,21.6430927798,0,8.219852359839999,-2.60709222997,poly,0.827244180867,0.455119613313,2,2,-1,6,3,1,0,0,0,0,9,5,263894
30ea5940115b4e2ab98ead015c4e613f,1000,29.230445469499998,0,21.630856309699997,3.00673952384,poly,0.84693721516,0.455119613313,3,3,-1,6,3,1,0,0,0,0,9,7,569128
61eaf3e024af413fbeb44556d22d22bd,1000,17.9754920629,0,10.7626177825,1.15043379348,poly,0.854703405143,0.455119613313,2,1,-1,6,3,1,0,0,0,0,9,8,798568
0a797ab0e49b462e9d09a3a675ec8819,1000,39.0561887015,0,-16.6381768332,-0.098452651294,exp,0.8638015806630001,,5,9,-1,1,3,6,0,0,0,0,10,0,351771
3a6d25c948364449a3aa8f136f824bdb,1000,18.7591578428,0,56.1343942683,0.316894723795,log,0.8073156808480001,,5,9,-1,1,3,6,0,0,0,0,10,2,176902
9912a0e2db1742b58255971e43fc7dbe,1000,18.3627478905,0,-38.0587777037,-0.0831858741521,exp,0.8364066148980001,,5,9,-1,1,3,6,0,0,0,0,10,8,207311
dc73f831aa9542ea83ca16878e0e0413,1000,32.0443135076,0,43.674602322,-0.12267703840500001,log,0.846800421873,,5,9,-1,1,3,6,0,0,0,0,10,9,38540
36307069eec64d81a959cb4d0539c677,1000,8.28592471449,0,-38.8647656588,0.127204857353,log,0.8307346387000001,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,0,784220
b6b6b825db8049acbd7385807821bdb1,1000,17.7815159043,0,9.30001372872,-0.09751370234099999,log,0.8569010280500001,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,1,398586
f60ece3b44734606959d4a7f1acc84ce,1000,28.676770219,0,-2.45898447804,0.026532376615,log,0.789238205006,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,2,687569
f5456a1ed58a45a1b5f7c7b3cb2b542b,1000,11.228036209,0,-0.803229629744,-0.014790460616,log,0.8671581441089999,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,5,258181
86cb8f9d5901413e84feccac440e131c,1000,6.655734921380001,0,-1.8945946654199999,-0.0231875741244,exp,0.854186184513,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,6,875862
382d1522f69a4bcb91a74f8608967661,1000,5.86946564985,0,-25.884220796999998,-0.158698891064,exp,0.845488380586,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,8,641123
98f90e0cb3bf491c9721b7d222448cd0,1000,25.009938885700002,0,-3.13575181103,-0.0450893431159,exp,0.827404153433,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,9,669365
d07a3cf5fe5f49398277494cfd25fd04,1000,18.932602123,0,-0.0640840716441,2.57941058708,poly,0.925185608865,,1,1,-1,0,7,3,0,0,0,0,12,0,328320
6737a4f02a67495d80472eeb088405b5,1000,25.3965611038,0,-0.0065904528896099995,-2.68915734964,poly,0.917622867724,,3,2,-1,0,7,3,0,0,0,0,12,2,276489
2d2d5666831749f1b261c7ede430d054,1000,22.443146877800004,0,0.023203168198700004,-0.0149607053514,poly,0.980714187033,,1,3,-1,0,7,3,0,0,0,0,12,3,64207
66dda8112e7a43b4bd5f5a89dd10aa89,1000,22.7285385055,0,24.343127523699998,-6.949471110760001,poly,0.986978328566,,1,2,-1,0,7,3,0,0,0,0,12,4,543896
0b4bf5d6065542caab8231b871416969,1000,26.8750299299,0,-0.0865555306138,-1.8718378991999998,poly,0.9411722420440001,,3,2,-1,0,7,3,0,0,0,0,12,6,614772
2b4748ad00fe4585ae7de161f8189508,1000,30.794224517199996,0,41.4054367684,-11.8718902901,poly,0.9439019572600001,,2,2,-1,0,7,3,0,0,0,0,12,7,707076
0094fc4ea444428b8add796970282d81,1000,20.6711110678,0,0.00569748347745,1.6113107163100002,poly,0.948950831146,,3,3,-1,0,7,3,0,0,0,0,12,8,841757
0eea35a96d9546fb9ff1ef90c8595563,1000,26.816561064200002,0,-33.266426179,0.760656759024,poly,0.9463157625049999,0.480898346963,1,3,-1,4,4,2,0,0,0,0,13,3,943604
eb7babd81b09491e9847b66d4ecd80b4,1000,17.422443328499998,0,-0.634065690001,0.0370270937875,poly,0.953187482093,0.480898346963,3,1,-1,4,4,2,0,0,0,0,13,5,716202
e8015bb8c062496aa80a276d9c46e62d,1000,27.716486405799998,0,-24.5323166974,-1.8341400917099997,poly,0.9580907912759999,0.480898346963,3,2,-1,4,4,2,0,0,0,0,13,6,517402
41cf17d9c31347138d30c0fd82d4c25f,1000,22.4471589919,0,7.41446055464,1.05917952565,poly,0.949514804551,0.480898346963,2,2,-1,4,4,2,0,0,0,0,13,8,106722
2da829de3ff44eb88947d4deeedb2dc5,1000,26.187694723099998,0,238.458080585,-0.549782368076,log,0.928144085546,,5,8,-1,2,2,6,0,0,0,0,14,3,541501
4fb34e5403554c7aa4dae32344606de5,1000,19.3155613638,0,-141.423036233,0.579196823037,log,0.979417374561,,5,8,-1,2,2,6,0,0,0,0,14,4,932042
6341f91898564f51b888668b75a00598,1000,14.006160823399998,0,94.6183457111,0.401063158702,log,0.970564920776,,5,8,-1,2,2,6,0,0,0,0,14,6,814680
3ecc7697245c44cc99a500b1141d2144,1000,29.012332185500004,0,4.42838821696,0.0597494583256,log,0.966978751991,,5,8,-1,2,2,6,0,0,0,0,14,8,889176
eefe900eb96b467f99981814cace7475,1000,34.8020814443,0,-1.6113192855899998,0.014719620086999998,log,0.943924746286,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,1,153412
bd3059fb6d134a20b5b9c57c5e3bfb8e,1000,32.7853286439,0,0.685446039364,0.0173289813557,log,0.9700652153210001,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,2,765129
e36396f4c806440c9f8d37bf91fae749,1000,29.178244571399997,0,-13.1316661286,-0.145111278524,exp,0.963495576129,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,3,577271
6d5d061aa0e34f91952c32eea6b3503e,1000,33.4914541117,0,-0.00589946317166,-0.271111769108,poly,0.868778293914,,2,2,-1,3,2,15,0,0,0,0,16,4,911901
d3ab11b747834b72887a87d7c80dd2a0,1000,40.193576283,0,15.701855813,3.1757152229299996,poly,0.87221772968,,1,1,-1,3,2,15,0,0,0,0,16,6,621214
11347180430349a9b6a632a965f0552b,1000,54.032396773900004,0,-2.98754144387,1.26688489247,poly,0.826307094903,,2,3,-1,3,2,15,0,0,0,0,16,9,546136
fedae3c8817b4f73ad5c68789a1b8259,1000,61.20556555939999,0,5.31795903366,0.927676786632,poly,0.846150917591,0.34597625626100004,1,3,-1,15,3,2,0,0,0,0,17,0,929635
d78604bed9064daba339d8ac1651c81f,1000,51.643741237700006,0,3.9936189107199995,0.607383652306,poly,0.8449150907269999,0.34597625626100004,3,1,-1,15,3,2,0,0,0,0,17,1,208712
bbb15bf0608449868827db6f5651cc4f,1000,46.8057852132,0,25.357436967800002,0.693841545024,poly,0.8829627584649999,0.34597625626100004,3,1,-1,15,3,2,0,0,0,0,17,9,440382
341b553d612c4e2d90e9847bc1fff07f,1000,51.817618109799994,0,0.7574383738770001,0.0171317719662,log,0.8211332892300001,,20,7,-1,13,6,1,0,0,0,0,18,3,811773
8370f43dd7314de5ad9cd0eedbdc9ff1,1000,69.2416850125,0,-11.9922123696,-1.21956835031,exp,0.825739947037,,20,7,-1,13,6,1,0,0,0,0,18,7,501658
321fa3668503429c9ef62fe184fe007c,1000,43.13504129729999,0,-25.7794935325,-0.152067628303,log,0.865917868462,,20,7,-1,13,6,1,0,0,0,0,18,9,854067
ebcb91f4cbae43f18988ff4aff730715,1000,43.568262129,0,1.42868768667,0.012387597747500001,exp,0.861552611867,0.34597625626100004,19,9,-1,11,7,2,0,0,0,0,19,1,850438
a16137d6d3f4498b8798e08e1e177d62,1000,50.3715436246,0,-8.58340789778,-0.174006415317,exp,0.8786060495379999,0.34597625626100004,19,9,-1,11,7,2,0,0,0,0,19,6,569927
d61b391e3e3b4e7b87d07481de8d054c,1000,58.3807928087,0,-2.6801860211,-0.029018928981,exp,0.85212394622,0.34597625626100004,19,9,-1,11,7,2,0,0,0,0,19,7,28270
1966f346004d40a1bd01ae1edd60f5d2,1000,65.7600542599,0,-4.67865402886,0.0506905770003,log,0.85931133161,0.34597625626100004,19,9,-1,11,7,2,0,0,0,0,19,9,682193
0509fd351e7c47ae82daf4865a2ab8d4,1000,51.155013284300004,0,0.8060891047600001,-9.44796993403,poly,0.98209361338,,2,1,-1,8,3,9,0,0,0,0,20,6,189971
0d0d07c96a444c3eaa4cb7bb27136ecb,1000,49.7765848321,0,-0.231008507885,-9.87968998758,poly,0.983366226808,,2,1,-1,8,3,9,0,0,0,0,20,8,333060
4a05691193544d4787234746da2aee1e,1000,72.9738526683,0,-22.191393734899997,2.34230988431,poly,0.962851734489,0.352956123865,2,1,-1,3,14,3,0,0,0,0,21,0,935772
5008fc34b4224092b81457f16bf76025,1000,43.832097760100005,0,-5.783609193999999,1.16215492088,poly,0.9715026694840001,0.352956123865,2,3,-1,3,14,3,0,0,0,0,21,5,18376
2ae8e5358c2a4a6eabbc10a323232d92,1000,60.6813661545,0,-14.4079204904,-1.7983391393400001,poly,0.975071090775,0.352956123865,1,1,-1,3,14,3,0,0,0,0,21,8,892344
c64295cf35424220b80d038ee4f615a7,1000,45.2087292797,0,1.450161703,0.035008556564599995,log,0.94868996779,,17,18,-1,2,14,4,0,0,0,0,22,2,684295
44075ed2906540f2851f0a1d0624867b,1000,70.4552719287,0,27.646014074,-0.185071437081,log,0.978303695819,,17,18,-1,2,14,4,0,0,0,0,22,3,325069
b135d63dbd3940a18533b01c5f632075,1000,52.8724515538,0,-23.4106525347,-0.0484039650232,exp,0.9646742663299999,,17,18,-1,2,14,4,0,0,0,0,22,5,359280
3ec886ee3ca54a7096f5db7a437f93d1,1000,55.2302655495,0,-46.9768868234,0.382645538618,log,0.960747037532,,17,18,-1,2,14,4,0,0,0,0,22,7,570896
88dba9b0999346e4b76e741f50e430e3,1000,41.5681155881,0,9.79991201136,0.0324017255628,exp,0.96615574483,,17,18,-1,2,14,4,0,0,0,0,22,9,421129
af38ad87bfc34dbca903c8ce9dc0c1c8,1000,53.0899739843,0,-21.3663243677,-0.270793482648,exp,1.0,0.402429604382,13,20,-1,0,12,8,0,0,0,0,23,1,380990
ea4f73b46ebc47ca83b6af0f5d69e597,1000,45.1721188889,0,-1.22205582499,-0.0192083396575,exp,0.950494867824,0.402429604382,13,20,-1,0,12,8,0,0,0,0,23,2,440799
b4b96f1e48304cec88eb95c45527ffa2,1000,49.428523917,0,31.589176191700002,-0.7022002761499999,log,0.907427815881,0.402429604382,13,20,-1,0,12,8,0,0,0,0,23,5,767703
63ce54b5043a4c23b43d78ae5ec523d5,1000,32.813267466599996,0,-4.55317167566,-0.053519971715900005,exp,0.921432781161,0.402429604382,13,20,-1,0,12,8,0,0,0,0,23,6,598538
996e58158caf4fee8157bfbd6f1c8bc1,1000,9.92314763011,0,-30.254926041799997,-3.97276283582,poly,0.806800747773,,1,1,-1,2,3,15,0,0,0,0,24,2,826762
b2742cf45d184ac7a6914502732bbac5,1000,33.1779597532,0,-1.1591380792700001,-0.630729145949,poly,0.871522348615,,1,2,-1,2,3,15,0,0,0,0,24,4,395391
4a5ca9725a34408998aa0744a0ba8738,1000,9.18959635038,0,36.0224104358,-2.73027401357,poly,0.854512932658,,1,3,-1,2,3,15,0,0,0,0,24,6,196592
65a76f8078864c4788106e71a219743a,1000,10.9449810022,0,-0.143831124226,-2.8929552625099997,poly,0.856357543105,,2,3,-1,2,3,15,0,0,0,0,24,7,434919
fb40cd0d6d0941b690c866bd29372c54,1000,9.665307784089999,0,-12.825536856700001,2.17598754555,poly,0.845764288439,,2,2,-1,2,3,15,0,0,0,0,24,9,381775
20b16c2d11284eba9dfc7b48fcf2f0de,1000,23.3409014985,0,-2.80479136763,0.350901517418,poly,0.845244718361,0.402429604382,1,3,-1,9,3,8,0,0,0,0,25,2,587418
b4a78e2d640c40e6afeeb117c46f6eec,1000,29.0781825625,0,8.949914171,-0.8085253332469999,poly,0.821477983274,0.402429604382,1,1,-1,9,3,8,0,0,0,0,25,3,140784
1e74d8ccdd5d4572a362af8e64a9c9ef,1000,29.189260466300002,0,4.23000020148,1.6206394065799998,poly,0.8442793368070001,0.402429604382,1,1,-1,9,3,8,0,0,0,0,25,4,903539
d837f055d3a24f4f8cf535d2b415eae2,1000,22.5678092573,0,-16.2487614948,0.7902188550929999,poly,0.846016579359,0.402429604382,2,3,-1,9,3,8,0,0,0,0,25,6,742901
ae0d928d7ecc4b8588599f5e243bfe14,1000,12.918025175,0,-5.53791198148,0.0261252550427,log,0.879680385259,,9,16,-1,4,4,12,0,0,0,0,26,1,662242
7df30bd3afa041b3ac491a43791d28e7,1000,21.886956937199997,0,37.7001635724,3.17662888315,exp,0.862516417167,,9,16,-1,4,4,12,0,0,0,0,26,3,408514
e8071bd48bdf4a03846b3502980c9b8d,1000,20.9452842673,0,-3.76475779481,-0.0290205038901,log,0.82506159951,,9,16,-1,4,4,12,0,0,0,0,26,4,235865
4ae18b31cc5747719de1da42cf16bf24,1000,19.872044653499998,0,13.8995165757,0.036054748258,log,0.8295507398180001,,9,16,-1,4,4,12,0,0,0,0,26,7,474214
97f7a68e062c41c3b1409d87c6e66f4e,1000,27.903757439899998,0,56.4642732273,-1.7052636724,log,0.821686880397,0.62133493456,6,18,-1,2,3,15,0,0,0,0,27,0,527055
43406d92b1e64f4a8de037b87705df2a,1000,17.523789955999998,0,2.68075612033,-0.0202344567116,log,0.8602818712549999,0.62133493456,6,18,-1,2,3,15,0,0,0,0,27,4,617087
87c21cb3481049faa7b2520d8a77edc4,1000,13.4319615659,0,-66.6868385493,0.803010102265,log,0.845884275889,0.62133493456,6,18,-1,2,3,15,0,0,0,0,27,6,552565
17025d0e398549bc8f6fec29faa57d9b,1000,18.2733940607,0,-54.336646896000005,0.501930538052,log,0.8207441731540001,0.62133493456,6,18,-1,2,3,15,0,0,0,0,27,7,320933
f4d7e7907fcf4c3f85ed2c90a8a8e333,1000,19.2742069794,0,-4.819691328969999,0.0769399604762,log,0.811234226145,0.62133493456,6,18,-1,2,3,15,0,0,0,0,27,8,649414
199a102f8f834f8c83557a742503cc43,1000,31.166629140300003,0,0.0573135732,-5.5996023484599995,poly,0.956182769104,,2,3,-1,6,9,5,0,0,0,0,28,3,833208
086fac1f75194ac98ed1294b61953257,1000,15.1718459774,0,-11.3126217093,5.842765068359999,poly,0.930425192546,,1,3,-1,6,9,5,0,0,0,0,28,4,825848
23bca77c5c794a57ad3ec7d472667834,1000,18.380302506,0,-2.69508200962,-0.44518536244499995,poly,0.9668297331640001,0.33962327189499997,1,3,-1,11,8,1,0,0,0,0,29,0,994130
3108f596a4914077bbe1452fcc8301f3,1000,26.810172569899997,0,-1.06830235927,0.332297410828,poly,0.9590532515369999,0.33962327189499997,1,1,-1,11,8,1,0,0,0,0,29,3,257806
d25a5af29cc24797b531c6c8aaa60fee,1000,41.1118698872,0,-6.26160662957,0.570626001636,poly,1.0,0.33962327189499997,2,1,-1,11,8,1,0,0,0,0,29,4,582512
b31d346514244cb19b9960fe5276bebb,1000,19.6808579509,0,8.719734388960001,0.45187913959700005,poly,0.9770638235410001,0.33962327189499997,1,3,-1,11,8,1,0,0,0,0,29,7,640873
d8f4ec56c7d440aea16917727b3c0b88,1000,22.0720936602,0,5.78139223598,0.251430295977,poly,0.958292980782,0.33962327189499997,2,1,-1,11,8,1,0,0,0,0,29,8,952567
04079ebbfec741b783a4ccd02282abf9,1000,14.1811029498,0,-10.041076367999999,0.14611350000999998,log,0.94735712551,,20,12,-1,8,11,1,0,0,0,0,30,4,230231
8d6e6e7d6ec245f3a106e939e4778686,1000,16.18422401,0,-1.8278777003400002,-0.0110429706311,exp,0.969927311266,0.333808200695,21,5,-1,15,5,0,0,0,0,0,31,0,717981
3ed41a352e7445bd9b5e94f57dab3bf1,1000,22.360110231999997,0,2.96097164854,0.0316053318702,exp,0.9580031479700001,0.333808200695,21,5,-1,15,5,0,0,0,0,0,31,2,778305
3b2f7709f41443d89e1b20e4492fd3a0,1000,12.703115628099999,0,-14.198904541900001,0.10643970093800001,log,0.968898999864,0.333808200695,21,5,-1,15,5,0,0,0,0,0,31,6,982680
0052145a852c4ba2be2b8ae8a793e157,1000,41.8610750385,0,-1.2477838132799999,-0.00809342766834,exp,0.966624813181,0.333808200695,21,5,-1,15,5,0,0,0,0,0,31,9,438740
005cc57823c54bee823c33a676e9af4d,1000,65.594812392,0,-0.62759514474,-0.507703002445,poly,0.81855931197,,1,1,-1,2,32,16,0,0,0,0,32,2,782062
41a62ff7643046e6a07b881e5ae66716,1000,69.8561560114,0,1.00005296261,12.357729278199999,poly,0.810684573958,,2,2,-1,2,32,16,0,0,0,0,32,4,194580
f9f4c038b6004b94bedc9e713f146e59,1000,52.699698681,0,23.832848151700002,5.3957226562,poly,0.8606148759569999,,1,1,-1,2,32,16,0,0,0,0,32,7,455233
789b7fe2a50e4e3590d248cf39fea7b8,1000,57.4303079766,0,-7.4562872453499995,-0.8432744153659999,poly,0.8622063969299999,0.269282508064,2,3,-1,11,30,9,0,0,0,0,33,0,924520
0d0300f1cf8e4d4aadbe85c5d785fbb4,1000,36.2865981711,0,1.6882819834099998,-0.73235168013,poly,0.865619657474,0.269282508064,3,2,-1,11,30,9,0,0,0,0,33,2,464076
9086eb4219f946d185b1f4a4f276b0ba,1000,68.0456023031,0,1.8460957936700002,-0.39130432582900004,poly,0.851613354394,0.269282508064,3,1,-1,11,30,9,0,0,0,0,33,3,312897
dd0f610ac250473ebc85a9ba00dfe4ec,1000,46.433348889399994,0,-12.6509817742,1.5938103665999999,poly,0.839390160741,0.269282508064,3,3,-1,11,30,9,0,0,0,0,33,4,581912
b571a3f2df6e4810a60d0cb761eed905,1000,53.973090057700006,0,5.519594284380001,0.786643445238,poly,0.844409389866,0.269282508064,3,3,-1,11,30,9,0,0,0,0,33,9,71977
d13c4ae6e79440b99db71e4911458066,1000,41.986916833,0,-0.859071711855,-0.0114426467195,log,0.865081241534,,27,32,-1,18,8,24,0,0,0,0,34,6,96548
ce4e3497f3744360ab59c3b0276b9ff2,1000,65.101332903,0,29.3377367932,-0.914117101794,log,0.8411629910959999,0.30341307554200003,28,37,-1,13,14,23,0,0,0,0,35,0,604976
4b37a084f09b4df6b6df111e63319fcd,1000,65.6646771709,0,2.9386001000300004,-0.0960040757979,log,0.8354334301399999,0.30341307554200003,28,37,-1,13,14,23,0,0,0,0,35,1,250026
c1d6dec38a874a71b634bc5ea9862cfa,1000,44.6840686478,0,-5.28400897377,-0.0392856076639,exp,0.837007454534,0.30341307554200003,28,37,-1,13,14,23,0,0,0,0,35,2,657328
948ed0d2f16b4134834082ebcd485337,1000,54.2407983413,0,-4.407971534790001,-0.0392777661979,exp,0.827765893231,0.30341307554200003,28,37,-1,13,14,23,0,0,0,0,35,3,442671
562ca4b24ee0401b9e69c8b80c3260de,1000,50.2400772994,0,1.7212571814,0.0126854494167,exp,0.851495252345,0.30341307554200003,28,37,-1,13,14,23,0,0,0,0,35,4,346118
1177dc7e828640f0b8af0e90df4ab557,1000,55.0762984924,0,7.6888524374600005,-0.0813880831198,log,0.852983775457,0.30341307554200003,28,37,-1,13,14,23,0,0,0,0,35,6,862633
7b91dcef31634b30bb8e0c1b2b103232,1000,49.67867063520001,0,-3.75348412995,-3.13727082631,poly,0.959030153339,,1,3,-1,32,6,12,0,0,0,0,36,1,943213
1cbeea62aaef43e2a117468ae19b89e5,1000,62.1922103633,0,-0.0253682045763,4.18563278149,poly,0.9666559275759999,,2,2,-1,32,6,12,0,0,0,0,36,3,906984
3bf4601761ea447b85af6a2625bf4853,1000,51.670579142,0,-0.00801148806308,0.521405953004,poly,0.943685657346,,1,1,-1,32,6,12,0,0,0,0,36,6,926798
3b1ec5dff72643babb34454c1b5996ee,1000,47.5999114136,0,-0.0879328616645,-6.458967775669999,poly,0.9545270302200002,,2,1,-1,32,6,12,0,0,0,0,36,8,295376
4286e9ed761d4094ae3e89f54252a46f,1000,42.0782229812,0,15.5484699025,1.4235421611899999,poly,0.9662586282860001,0.274907577742,2,1,-1,17,21,12,0,0,0,0,37,0,865846
5885f502f5b64e0fa5f8bff4e4b21f0c,1000,53.267422885200006,0,-1.7524846762200001,0.36019972155,poly,0.9446724042820001,0.274907577742,3,3,-1,17,21,12,0,0,0,0,37,1,167618
2e36641ea1e148248aafba8a070e8204,1000,50.6568737538,0,-3.3738621201499996,-1.36380745192,poly,0.9318812074189999,0.274907577742,1,1,-1,17,21,12,0,0,0,0,37,4,991014
558de340fa68412eaf3b6123dba1a75d,1000,65.7943393351,0,10.996085051500001,0.384673638257,poly,0.927374230482,0.274907577742,1,3,-1,17,21,12,0,0,0,0,37,6,315196
56a813acccac41519bdf076ad501fee1,1000,44.4309570128,0,2.07108338801,-1.05515969763,poly,0.9526745311049999,0.274907577742,3,3,-1,17,21,12,0,0,0,0,37,7,912425
7b12b010fadd4f729347b85742bb0f71,1000,44.2138013554,0,-0.00980951426699,-2.4536312054,poly,0.9562467424619999,0.274907577742,2,3,-1,17,21,12,0,0,0,0,37,9,160626
815de7344f5e4a1a8660044ac23225ec,1000,61.8584621971,0,0.7951764510830001,0.022422202275,log,0.94542354564,,24,50,-1,0,23,27,0,0,0,0,38,6,178668
236260d9276749688d3e41ddd4b4ad30,1000,36.8628749557,0,-6.40361532309,-0.202244510344,exp,0.9598068763299998,,24,50,-1,0,23,27,0,0,0,0,38,7,426060
3eee4507bc5a4623b9bfd2de1de07652,1000,53.47744438310001,0,23.346769218800002,32.4851865013,exp,0.939971925488,,24,50,-1,0,23,27,0,0,0,0,38,9,715726
